product_name,product_url,product_price,product_item_number,product_description,product_category,product_category_url,product_image,product_image_url,product_discount,product_free_shipping,product_number_of_ratings,product_number_of_ratings_url
"Smead FasTab Hanging File Folders, 1/3 Cut, Letter Size, Multicolor, 18/Box (64053)",https://www.quill.com/smead-fastab-hanging-file-folders-1-3-cut-letter-size-multicolor-18-box-64053/cbs/204646.html,$27.99,Item #: 901-64053QL,"Assorted colors in durable 11-point stock
Plastic tabs on either end of each file work with heavy-duty plastic rods for sturdiness
Accommodates letter sized papers and files",Hanging file folder,javascript:void(0),https://www.quill.com/is/image/Quill/m003030836_s7?$im220$,https://www.quill.com/smead-fastab-hanging-file-folders-1-3-cut-letter-size-multicolor-18-box-64053/cbs/204646.html,Save 7%,Free shipping,-124,https://www.quill.com/smead-fastab-hanging-file-folders-1-3-cut-letter-size-multicolor-18-box-64053/cbs/204646.html?tab=3&Effort_Code=901&Find_Number=64053QL&promoCode=#skuTabReviews%22
"Staples Hanging File Folder, Legal Size, Standard Green, 25/Box (TR521252)",https://www.quill.com/staples-hanging-file-folder-legal-size-standard-green-25-box-tr521252/cbs/250532.html,$19.99,Item #: 901-521252,"Comes in standard green color and is made of 12.5-point paper stock with 144# basis weight for durability
Legal-size folder for holding oversize documents without folding
25 folders per box",Hanging file folder,javascript:void(0),https://www.quill.com/is/image/Quill/s1166139_s7?$im220$,https://www.quill.com/staples-hanging-file-folder-legal-size-standard-green-25-box-tr521252/cbs/250532.html,,1-2 day delivery,-42,https://www.quill.com/staples-hanging-file-folder-legal-size-standard-green-25-box-tr521252/cbs/250532.html?tab=3&Effort_Code=901&Find_Number=521252&promoCode=#skuTabReviews%22
"Staples Reinforced Hanging File Folders, 5-Tab, Letter Size, Blue/Green/Red/Orange/Yellow, 25/Box (TR18654)",https://www.quill.com/staples-reinforced-hanging-file-folders-5-tab-letter-size-blue-green-red-orange-yellow-25-box-tr18654/cbs/264106.html,$20.99,Item #: 901-813110STP,"Colorful hanging file folders made of tear-resistant material in blue, green, red, orange, and yellow with durable coated hooks
Five top-position tabs allow you to customize your files
File folder tabs are detachable",Hanging file folder,javascript:void(0),https://www.quill.com/is/image/Quill/6C55F1C7-4E46-44BC-B75C2801E9DE1D8B_s7?$im220$,https://www.quill.com/staples-reinforced-hanging-file-folders-5-tab-letter-size-blue-green-red-orange-yellow-25-box-tr18654/cbs/264106.html,,1-2 day delivery,-530,https://www.quill.com/staples-reinforced-hanging-file-folders-5-tab-letter-size-blue-green-red-orange-yellow-25-box-tr18654/cbs/264106.html?tab=3&Effort_Code=901&Find_Number=813110STP&promoCode=#skuTabReviews%22
"Pendaflex Glow 5-Tab Hanging File Folders, Letter Size, Multicolor, 25/Box (81672)",https://www.quill.com/pendaflex-glow-5-tab-hanging-file-folders-letter-size-multicolor-25-box-81672/cbs/50116864.html,$19.19,Item #: 901-1075843,"11-point stock and five different colors; green, pink, blue, yellow and orange
Plastic tabs on each side for standard hanging file construction
Dimensions: 13"" x 9.6"" x 2.3""",Hanging file folder,javascript:void(0),https://www.quill.com/is/image/Quill/m005168169_s7?$im220$,https://www.quill.com/pendaflex-glow-5-tab-hanging-file-folders-letter-size-multicolor-25-box-81672/cbs/50116864.html,Save 20%,1-2 day delivery,-541,https://www.quill.com/pendaflex-glow-5-tab-hanging-file-folders-letter-size-multicolor-25-box-81672/cbs/50116864.html?tab=3&Effort_Code=901&Find_Number=1075843&promoCode=#skuTabReviews%22
"Pendaflex SureHook Expanding File, 5.25"" Expansion, A-Z Index, Letter Size, 10-Pocket, Blue (PFX 59225)",https://www.quill.com/pendaflex-surehook-expanding-file-525-expansion-z-index-letter-size-10-pocket-blue-pfx-59225/cbs/045598.html,$23.99,Item #: 901-59225,"This hanging file is ideal for storing monthly statements, receipts, and expense reports
Blue hanging file offers protection and organization for your documents
Expands up to 5.25"" for extra space to hold your important papers",Hanging file folder,javascript:void(0),https://www.quill.com/is/image/Quill/sp42114001_s7?$im220$,https://www.quill.com/pendaflex-surehook-expanding-file-525-expansion-z-index-letter-size-10-pocket-blue-pfx-59225/cbs/045598.html,Save 5%,,-13,https://www.quill.com/pendaflex-surehook-expanding-file-525-expansion-z-index-letter-size-10-pocket-blue-pfx-59225/cbs/045598.html?tab=3&Effort_Code=901&Find_Number=59225&promoCode=#skuTabReviews%22
"Pendaflex SureHook Reinforced Box Bottom Hanging File Folder, 1/5-Cut Tab, Letter Size, Blue, 25/Box (PFX 59202)",https://www.quill.com/pendaflex-surehook-reinforced-box-bottom-hanging-file-folder-1-5-cut-tab-letter-size-blue-25-box-pfx-59202/cbs/040664.html,$77.99,Item #: 901-59202,"Durable blue 11 pt. cover material for everyday use
2"" expansion
Super-strong hanging rods with longer plastic hooks and built-in tension springs so files stay on track, slide more easily and don't buckle under pressure",Hanging file folder,javascript:void(0),https://www.quill.com/is/image/Quill/sp46530617_s7?$im220$,https://www.quill.com/pendaflex-surehook-reinforced-box-bottom-hanging-file-folder-1-5-cut-tab-letter-size-blue-25-box-pfx-59202/cbs/040664.html,Save 8%,Free shipping,-12,https://www.quill.com/pendaflex-surehook-reinforced-box-bottom-hanging-file-folder-1-5-cut-tab-letter-size-blue-25-box-pfx-59202/cbs/040664.html?tab=3&Effort_Code=901&Find_Number=59202&promoCode=#skuTabReviews%22
"Pendaflex® SureHook® 5-Tab Hanging File Folders, Letter Size, Green, 20/Box (6152 1/5)",https://www.quill.com/pendaflex-surehook-5-tab-hanging-file-folders-letter-size-green-20-box-6152-1-5/cbs/212217.html,$24.79,Item #: 901-615215,"Standard green folder made from 11-point paper stock
Long plastic hooks with built-in tension springs to grip rails
Letter size",Hanging file folder,javascript:void(0),https://www.quill.com/is/image/Quill/m005168216_s7?$im220$,https://www.quill.com/pendaflex-surehook-5-tab-hanging-file-folders-letter-size-green-20-box-6152-1-5/cbs/212217.html,Save 7%,1-2 day delivery,-243,https://www.quill.com/pendaflex-surehook-5-tab-hanging-file-folders-letter-size-green-20-box-6152-1-5/cbs/212217.html?tab=3&Effort_Code=901&Find_Number=615215&promoCode=#skuTabReviews%22
"Staples Hanging File Folder, 5-Tab, Letter Size, Standard Green, 50/Box (TR266262)",https://www.quill.com/staples-hanging-file-folder-5-tab-letter-size-standard-green-50-box-tr266262/cbs/250294.html,$29.99,Item #: 901-266262,"Comes in standard green and is made of 12.5-point paper stock with 144# basis weight for durability
Five assorted-position top tabs offer ample space for labeling to keep your files organized
File folder tabs are detachable; tear-resistant",Hanging file folder,javascript:void(0),https://www.quill.com/is/image/Quill/s1166071_s7?$im220$,https://www.quill.com/staples-hanging-file-folder-5-tab-letter-size-standard-green-50-box-tr266262/cbs/250294.html,,Free shipping,-412,https://www.quill.com/staples-hanging-file-folder-5-tab-letter-size-standard-green-50-box-tr266262/cbs/250294.html?tab=3&Effort_Code=901&Find_Number=266262&promoCode=#skuTabReviews%22
"Hanging File Folders, Standard Green, Letter, 5-Tab, 250/Box, Full Case",https://www.quill.com/hanging-file-folders-standard-green-letter-5-tab-250-box-full-case/cbs/53965269.html,$77.99,Item #: 901-179494,"Comes in standard green color and is made of 12.5-point paper stock with 144# basis weight for durability
Five assorted-position top tabs provide ample space for labeling to keep your files organized
File folder tabs are detachable and tear-resistant",Hanging file folder,javascript:void(0),https://www.quill.com/is/image/Quill/s0834359_s7?$im220$,https://www.quill.com/hanging-file-folders-standard-green-letter-5-tab-250-box-full-case/cbs/53965269.html,,Free shipping,-20,https://www.quill.com/hanging-file-folders-standard-green-letter-5-tab-250-box-full-case/cbs/53965269.html?tab=3&Effort_Code=901&Find_Number=179494&promoCode=#skuTabReviews%22
"Staples Heavy Duty Reinforced Hanging File Folders, 5-Tab, Legal Size, Assorted Colors, 25/Box (TR18657)",https://www.quill.com/staples-heavy-duty-reinforced-hanging-file-folders-5-tab-legal-size-assorted-colors-25-box-tr18657/cbs/263907.html,$35.99,Item #: 901-813112STP,"Comes in assorted colors and made of 11-point reinforced paper stock and 126# basis weight for durability
Five assorted-position top tabs allow for ample space for labeling to keep your files organized
File folder tabs are detachable; tear-resistant; poly-laminated seams",Hanging file folder,javascript:void(0),https://www.quill.com/is/image/Quill/s1166072_s7?$im220$,https://www.quill.com/staples-heavy-duty-reinforced-hanging-file-folders-5-tab-legal-size-assorted-colors-25-box-tr18657/cbs/263907.html,,Free shipping,-22,https://www.quill.com/staples-heavy-duty-reinforced-hanging-file-folders-5-tab-legal-size-assorted-colors-25-box-tr18657/cbs/263907.html?tab=3&Effort_Code=901&Find_Number=813112STP&promoCode=#skuTabReviews%22
"Quill Brand® Box Bottom Hanging File Folders, 3"" Expansion, Letter Size, Dark Green, 25/Box (730052)",https://www.quill.com/quill-brand-reinforced-5-tab-box-bottom-hanging-file-folders-3-expansion-letter-dark-green-25-bx-730052/cbs/005635.html,$35.99,Item #: 901-730052,"Sturdy 11-pt.dark green paper stock
Reinforced bottom
Letter size",Hanging file folder,javascript:void(0),https://www.quill.com/is/image/Quill/8181EF80-9651-4917-AF62BFF2878EC9B1_s7?$im220$,https://www.quill.com/quill-brand-reinforced-5-tab-box-bottom-hanging-file-folders-3-expansion-letter-dark-green-25-bx-730052/cbs/005635.html,Save 8%,Free shipping,-29,https://www.quill.com/quill-brand-reinforced-5-tab-box-bottom-hanging-file-folders-3-expansion-letter-dark-green-25-bx-730052/cbs/005635.html?tab=3&Effort_Code=901&Find_Number=730052&promoCode=#skuTabReviews%22
"Quill Brand® 100% Recycled Hanging File Folders, 1/5-Cut, Legal Size, Green, 50/Box (745315)",https://www.quill.com/Quill-Brand-Standard-Green-100-Recycled-Hanging-File-Folders-1-5-Cut-Legal-Size-Bulk/cbs/005881.html,$40.99,Item #: 901-745315,"Standard green 11 pt. stock
1/5-cut
Metal hanging rods have a tough coating that can't chip so folders glide smoothly on rails",Hanging file folder,javascript:void(0),https://www.quill.com/is/image/Quill/82896_s7?$im220$,https://www.quill.com/Quill-Brand-Standard-Green-100-Recycled-Hanging-File-Folders-1-5-Cut-Legal-Size-Bulk/cbs/005881.html,Save 4%,Free shipping,-10,https://www.quill.com/Quill-Brand-Standard-Green-100-Recycled-Hanging-File-Folders-1-5-Cut-Legal-Size-Bulk/cbs/005881.html?tab=3&Effort_Code=901&Find_Number=745315&promoCode=#skuTabReviews%22
"Pendaflex SureHook Hanging File Folders, Legal Size, Standard Green, 20/Box (PFX 6153 1/5)",https://www.quill.com/pendaflex-surehook-hanging-file-folders-legal-size-standard-green-20-box-pfx-6153-1-5/cbs/212219.html,$29.99,Item #: 901-615315,"Folders are made of green paper stock
Poly-reinforced top edge and bottom fold provide added durability
Five tab positions allow you to customize your files",Hanging file folder,javascript:void(0),https://www.quill.com/is/image/Quill/sp44489813_s7?$im220$,https://www.quill.com/pendaflex-surehook-hanging-file-folders-legal-size-standard-green-20-box-pfx-6153-1-5/cbs/212219.html,Save 6%,Free shipping,-93,https://www.quill.com/pendaflex-surehook-hanging-file-folders-legal-size-standard-green-20-box-pfx-6153-1-5/cbs/212219.html?tab=3&Effort_Code=901&Find_Number=615315&promoCode=#skuTabReviews%22
"Quill Brand® 100% Recycled 5-Tab Hanging File Folders, Legal Size, Green, 25/Box (7Q5315)",https://www.quill.com/quill-brand-100-recycled-standard-5-tab-hanging-file-folders-legal-standard-green-25-bx-7q5315/cbs/015236.html,$13.79,Item #: 901-7Q5315,"Standard green 11 pt. stock
1/5-cut
Legal size",Hanging file folder,javascript:void(0),https://www.quill.com/is/image/Quill/s1197009_s7?$im220$,https://www.quill.com/quill-brand-100-recycled-standard-5-tab-hanging-file-folders-legal-standard-green-25-bx-7q5315/cbs/015236.html,Save 7%,,-54,https://www.quill.com/quill-brand-100-recycled-standard-5-tab-hanging-file-folders-legal-standard-green-25-bx-7q5315/cbs/015236.html?tab=3&Effort_Code=901&Find_Number=7Q5315&promoCode=#skuTabReviews%22
